# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageLoadsUs,1689331647601000000,1689331707593000000,793259
DirectByteBufferAllocator.disposed,1689331647601000000,1689331707593000000,0
FilePageCache.uncachedFileAccess,1689331647601000000,1689331707593000000,0
StorageLockContext.competingThreads.avg,1689331647601000000,1689331707593000000,0.0
FilePageCache.maxCacheSizeInBytes,1689331647601000000,1689331707593000000,326197248
FilePageCache.disposedBuffers,1689331647601000000,1689331707593000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1689331647601000000,1689331707593000000,245505
FlushQueue.executionTimeAvgNs,1689331647601000000,1689331707593000000,911478.403874092
AWTEventQueue.dispatchTimeAvgNs,1689331647601000000,1689331707593000000,1949059.483989021
FlushQueue.executionTime90PNs,1689331647601000000,1689331707593000000,905215
AWTEventQueue.dispatchTime90PNs,1689331647601000000,1689331707593000000,3588095
FlushQueue.queueSizeMax,1689331647601000000,1689331707593000000,21
FlushQueue.queueSizeAvg,1689331647601000000,1689331707593000000,0.8440677966101695
FlushQueue.tasksExecuted,1689331647601000000,1689331707593000000,2065
FlushQueue.waitingTime90PNs,1689331647601000000,1689331707593000000,17432575
NonBlockingReadAction.finalizedExecutionsCount,1689331647601000000,1689331707593000000,25
FlushQueue.waitingTimeMaxNs,1689331647601000000,1689331707593000000,385875967
AWTEventQueue.eventsDispatched,1689331647601000000,1689331707593000000,4372
FlushQueue.waitingTimeAvgNs,1689331647601000000,1689331707593000000,5751800.143341404
NonBlockingReadAction.failedExecutionsCount,1689331647601000000,1689331707593000000,4
NonBlockingReadAction.failedExecutionTimeUs,1689331647601000000,1689331707593000000,63969
FlushQueue.queueSize90P,1689331647601000000,1689331707593000000,2
AWTEventQueue.dispatchTimeMaxNs,1689331647601000000,1689331707593000000,427819007
FlushQueue.executionTimeMaxNs,1689331647601000000,1689331707593000000,427819007
FileNameCache.queries,1689331647601000000,1689331707593000000,853795
